,movie,year,imdb,metascore,votes,genre
956,The Notebook,(2004),7.9,,460835,"Drama, Romance"
957,Shaun of the Dead,(2004),7.9,76.0,458286,"Comedy, Horror"
958,"I, Robot",(2004),7.1,,452456,"Action, Crime, Drama"
959,Lost,(2004–2010),8.4,,444809,"Adventure, Drama, Fantasy"
960,Troy,(2004),7.2,,440953,"Drama, History, Romance"
961,The Butterfly Effect,(2004),7.7,,411480,"Drama, Sci-Fi, Thriller"
962,The Bourne Supremacy,(2004),7.8,73.0,399877,"Action, Mystery, Thriller"
963,Crash,(I) (2004),7.8,69.0,395508,"Crime, Drama, Thriller"
964,The Day After Tomorrow,(2004),6.4,,376612,"Action, Adventure, Sci-Fi"
965,Shrek 2,(2004),7.2,75.0,368680,"Animation, Adventure, Comedy"
966,House,(2004–2012),8.7,,365018,"Drama, Mystery"
967,The Terminal,(2004),7.3,,356228,"Comedy, Drama, Romance"
968,Saw,(2004),7.6,,344981,"Horror, Mystery"
969,Collateral,(2004),7.5,71.0,329760,"Crime, Drama, Thriller"
970,Ocean's Twelve,(2004),6.5,,324854,"Crime, Thriller"
971,The Machinist,(2004),7.7,61.0,323342,"Drama, Thriller"
972,Hotel Rwanda,(2004),8.1,79.0,307428,"Biography, Drama, History"
973,Anchorman: The Legend of Ron Burgundy,(2004),7.2,63.0,302346,Comedy
974,Man on Fire,(2004),7.7,,301344,"Action, Crime, Drama"
975,The Aviator,(2004),7.5,77.0,301267,"Biography, Drama, History"
976,50 First Dates,(2004),6.8,,298028,"Comedy, Drama, Romance"
977,Downfall,(2004),8.2,82.0,297142,"Biography, Drama, History"
978,Mean Girls,(2004),7.0,66.0,293024,Comedy
979,National Treasure,(2004),6.9,,280879,"Action, Adventure, Family"
980,Hellboy,(2004),6.9,72.0,278880,"Action, Fantasy, Horror"
981,Howl's Moving Castle,(2004),8.2,80.0,273305,"Animation, Adventure, Family"
982,Meet the Fockers,(2004),6.3,,234148,"Comedy, Romance"
983,Van Helsing,(2004),6.1,,224589,"Action, Adventure, Fantasy"
984,The Village,(2004),6.5,,221054,"Drama, Mystery, Thriller"
985,Dawn of the Dead,(2004),7.3,,216799,"Action, Horror, Thriller"
986,Dodgeball: A True Underdog Story,(2004),6.7,,209195,"Comedy, Sport"
987,Before Sunset,(2004),8.1,90.0,201750,"Drama, Romance"
988,The Chronicles of Riddick,(2004),6.7,,201419,"Action, Adventure, Sci-Fi"
989,Garden State,(2004),7.5,67.0,199734,"Comedy, Drama, Romance"
990,The Passion of the Christ,(2004),7.2,,197552,Drama
991,Finding Neverland,(2004),7.7,67.0,188879,"Biography, Drama, Family"
992,The Girl Next Door,(2004),6.7,,187552,"Comedy, Drama, Romance"
993,Closer,(I) (2004),7.3,65.0,187143,"Drama, Romance"
994,A Series of Unfortunate Events,(2004),6.8,62.0,181521,"Adventure, Comedy, Family"
995,Napoleon Dynamite,(2004),6.9,64.0,180775,Comedy
996,EuroTrip,(2004),6.6,,179813,Comedy
997,Resident Evil: Apocalypse,(2004),6.2,,172218,"Action, Horror, Sci-Fi"
998,Harold & Kumar Go to White Castle,(2004),7.1,64.0,169855,"Adventure, Comedy"
999,AVP: Alien vs. Predator,(2004),5.6,,169422,"Action, Horror, Sci-Fi"
1000,Batman Begins,(2005),8.3,70.0,1161068,"Action, Adventure, Thriller"
1001,V for Vendetta,(2005),8.2,62.0,931738,"Action, Drama, Sci-Fi"
1002,Sin City,(2005),8.0,74.0,708253,"Crime, Thriller"
1003,Star Wars: Episode III - Revenge of the Sith,(2005),7.6,68.0,622476,"Action, Adventure, Fantasy"
1004,How I Met Your Mother,(2005–2014),8.3,,523700,"Comedy, Romance"
1005,Harry Potter and the Goblet of Fire,(2005),7.7,81.0,471799,"Adventure, Family, Fantasy"
1006,Prison Break,(2005–2017),8.4,,418954,"Action, Crime, Drama"
1007,Mr. & Mrs. Smith,(2005),6.5,,405734,"Action, Comedy, Crime"
1008,War of the Worlds,(2005),6.5,73.0,379197,"Adventure, Sci-Fi, Thriller"
1009,Charlie and the Chocolate Factory,(2005),6.7,72.0,378757,"Adventure, Comedy, Family"
1010,King Kong,(2005),7.2,81.0,359083,"Action, Adventure, Drama"
1011,The 40-Year-Old Virgin,(2005),7.1,73.0,354566,"Comedy, Romance"
1012,Supernatural,(2005– ),8.5,,342159,"Drama, Fantasy, Horror"
1013,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",(2005),6.9,75.0,331597,"Adventure, Family, Fantasy"
1014,Madagascar,(2005),6.9,,319397,"Animation, Adventure, Comedy"
1015,Wedding Crashers,(2005),7.0,64.0,308914,"Comedy, Romance"
1016,Brokeback Mountain,(2005),7.7,87.0,293287,"Drama, Romance"
1017,Fantastic Four,(I) (2005),5.7,,292178,"Action, Adventure, Fantasy"
1018,The Island,(2005),6.9,,284996,"Action, Adventure, Mystery"
1019,The Office,(2005–2013),8.8,,275361,Comedy
1020,Lord of War,(2005),7.6,62.0,273467,"Crime, Drama, Thriller"
1021,Hitch,(I) (2005),6.6,,272742,"Comedy, Romance"
1022,Constantine,(2005),7.0,,270719,"Action, Fantasy, Horror"
1023,Serenity,(2005),7.9,74.0,265582,"Action, Adventure, Sci-Fi"
1024,Kingdom of Heaven,(2005),7.2,63.0,245868,"Action, Adventure, Drama"
1025,Pride & Prejudice,(2005),7.8,82.0,225057,"Drama, Romance"
1026,Corpse Bride,(2005),7.4,83.0,218983,"Animation, Drama, Family"
1027,Saw II,(2005),6.6,,213844,"Horror, Mystery"
1028,Walk the Line,(2005),7.9,72.0,208447,"Biography, Drama, Music"
1029,A History of Violence,(2005),7.5,81.0,207336,"Drama, Thriller"
1030,Thank You for Smoking,(2005),7.6,71.0,204115,"Comedy, Drama"
1031,Grey's Anatomy,(2005– ),7.6,,203178,"Drama, Romance"
1032,Kiss Kiss Bang Bang,(2005),7.6,72.0,199290,"Action, Comedy, Crime"
1033,Munich,(2005),7.6,74.0,195527,"Drama, History, Thriller"
1034,Match Point,(2005),7.6,72.0,187858,"Drama, Romance, Thriller"
1035,The Descent,(2005),7.2,71.0,180688,"Adventure, Horror, Thriller"
1036,Doctor Who,(2005– ),8.7,,179584,"Adventure, Drama, Family"
1037,Transporter 2,(2005),6.3,,176280,"Action, Crime, Thriller"
1038,The Hitchhiker's Guide to the Galaxy,(2005),6.8,63.0,174706,"Adventure, Comedy, Sci-Fi"
1039,It's Always Sunny in Philadelphia,(2005– ),8.7,,165669,Comedy
1040,Cinderella Man,(2005),8.0,69.0,164088,"Biography, Drama, Sport"
1041,Jarhead,(2005),7.0,,159517,"Biography, Drama, War"
1042,Hostel,(2005),5.9,,155948,Horror
1043,The Longest Yard,(2005),6.4,,147493,"Comedy, Crime, Sport"
1044,Hard Candy,(2005),7.1,,144759,"Crime, Drama, Thriller"
1045,Flightplan,(2005),6.3,,140889,"Action, Drama, Mystery"
1046,Rome,(2005–2007),8.8,,136789,"Action, Drama, History"
1047,Criminal Minds,(2005– ),8.1,,133373,"Crime, Drama, Mystery"
1048,Green Street Hooligans,(2005),7.5,,131778,"Crime, Drama, Sport"
1049,Memoirs of a Geisha,(2005),7.4,,129845,"Drama, Romance"
1050,Batman Begins,(2005),8.3,70.0,1161068,"Action, Adventure, Thriller"
1051,V for Vendetta,(2005),8.2,62.0,931738,"Action, Drama, Sci-Fi"
1052,Sin City,(2005),8.0,74.0,708253,"Crime, Thriller"
1053,Star Wars: Episode III - Revenge of the Sith,(2005),7.6,68.0,622476,"Action, Adventure, Fantasy"
1054,How I Met Your Mother,(2005–2014),8.3,,523700,"Comedy, Romance"
1055,Harry Potter and the Goblet of Fire,(2005),7.7,81.0,471799,"Adventure, Family, Fantasy"
1056,Prison Break,(2005–2017),8.4,,418954,"Action, Crime, Drama"
1057,Mr. & Mrs. Smith,(2005),6.5,,405734,"Action, Comedy, Crime"
1058,War of the Worlds,(2005),6.5,73.0,379197,"Adventure, Sci-Fi, Thriller"
1059,Charlie and the Chocolate Factory,(2005),6.7,72.0,378757,"Adventure, Comedy, Family"
1060,King Kong,(2005),7.2,81.0,359083,"Action, Adventure, Drama"
1061,The 40-Year-Old Virgin,(2005),7.1,73.0,354566,"Comedy, Romance"
1062,Supernatural,(2005– ),8.5,,342159,"Drama, Fantasy, Horror"
1063,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",(2005),6.9,75.0,331597,"Adventure, Family, Fantasy"
1064,Madagascar,(2005),6.9,,319397,"Animation, Adventure, Comedy"
1065,Wedding Crashers,(2005),7.0,64.0,308914,"Comedy, Romance"
1066,Brokeback Mountain,(2005),7.7,87.0,293287,"Drama, Romance"
1067,Fantastic Four,(I) (2005),5.7,,292178,"Action, Adventure, Fantasy"
1068,The Island,(2005),6.9,,284996,"Action, Adventure, Mystery"
1069,The Office,(2005–2013),8.8,,275361,Comedy
1070,Lord of War,(2005),7.6,62.0,273467,"Crime, Drama, Thriller"
1071,Hitch,(I) (2005),6.6,,272742,"Comedy, Romance"
1072,Constantine,(2005),7.0,,270719,"Action, Fantasy, Horror"
1073,Serenity,(2005),7.9,74.0,265582,"Action, Adventure, Sci-Fi"
1074,Kingdom of Heaven,(2005),7.2,63.0,245868,"Action, Adventure, Drama"
1075,Pride & Prejudice,(2005),7.8,82.0,225057,"Drama, Romance"
1076,Corpse Bride,(2005),7.4,83.0,218983,"Animation, Drama, Family"
1077,Saw II,(2005),6.6,,213844,"Horror, Mystery"
1078,Walk the Line,(2005),7.9,72.0,208447,"Biography, Drama, Music"
1079,A History of Violence,(2005),7.5,81.0,207336,"Drama, Thriller"
1080,Thank You for Smoking,(2005),7.6,71.0,204115,"Comedy, Drama"
1081,Grey's Anatomy,(2005– ),7.6,,203178,"Drama, Romance"
1082,Kiss Kiss Bang Bang,(2005),7.6,72.0,199290,"Action, Comedy, Crime"
1083,Munich,(2005),7.6,74.0,195527,"Drama, History, Thriller"
1084,Match Point,(2005),7.6,72.0,187858,"Drama, Romance, Thriller"
1085,The Descent,(2005),7.2,71.0,180688,"Adventure, Horror, Thriller"
1086,Doctor Who,(2005– ),8.7,,179584,"Adventure, Drama, Family"
1087,Transporter 2,(2005),6.3,,176280,"Action, Crime, Thriller"
1088,The Hitchhiker's Guide to the Galaxy,(2005),6.8,63.0,174706,"Adventure, Comedy, Sci-Fi"
1089,It's Always Sunny in Philadelphia,(2005– ),8.7,,165669,Comedy
1090,Cinderella Man,(2005),8.0,69.0,164088,"Biography, Drama, Sport"
1091,Jarhead,(2005),7.0,,159517,"Biography, Drama, War"
1092,Hostel,(2005),5.9,,155948,Horror
1093,The Longest Yard,(2005),6.4,,147493,"Comedy, Crime, Sport"
1094,Hard Candy,(2005),7.1,,144759,"Crime, Drama, Thriller"
1095,Flightplan,(2005),6.3,,140889,"Action, Drama, Mystery"
1096,Rome,(2005–2007),8.8,,136789,"Action, Drama, History"
1097,Criminal Minds,(2005– ),8.1,,133373,"Crime, Drama, Mystery"
1098,Green Street Hooligans,(2005),7.5,,131778,"Crime, Drama, Sport"
1099,Memoirs of a Geisha,(2005),7.4,,129845,"Drama, Romance"
1100,Batman Begins,(2005),8.3,70.0,1161068,"Action, Adventure, Thriller"
1101,V for Vendetta,(2005),8.2,62.0,931738,"Action, Drama, Sci-Fi"
1102,Sin City,(2005),8.0,74.0,708253,"Crime, Thriller"
1103,Star Wars: Episode III - Revenge of the Sith,(2005),7.6,68.0,622476,"Action, Adventure, Fantasy"
1104,How I Met Your Mother,(2005–2014),8.3,,523700,"Comedy, Romance"
1105,Harry Potter and the Goblet of Fire,(2005),7.7,81.0,471799,"Adventure, Family, Fantasy"
1106,Prison Break,(2005–2017),8.4,,418954,"Action, Crime, Drama"
1107,Mr. & Mrs. Smith,(2005),6.5,,405734,"Action, Comedy, Crime"
1108,War of the Worlds,(2005),6.5,73.0,379197,"Adventure, Sci-Fi, Thriller"
1109,Charlie and the Chocolate Factory,(2005),6.7,72.0,378757,"Adventure, Comedy, Family"
1110,King Kong,(2005),7.2,81.0,359083,"Action, Adventure, Drama"
1111,The 40-Year-Old Virgin,(2005),7.1,73.0,354566,"Comedy, Romance"
1112,Supernatural,(2005– ),8.5,,342159,"Drama, Fantasy, Horror"
1113,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",(2005),6.9,75.0,331597,"Adventure, Family, Fantasy"
1114,Madagascar,(2005),6.9,,319397,"Animation, Adventure, Comedy"
1115,Wedding Crashers,(2005),7.0,64.0,308914,"Comedy, Romance"
1116,Brokeback Mountain,(2005),7.7,87.0,293287,"Drama, Romance"
1117,Fantastic Four,(I) (2005),5.7,,292178,"Action, Adventure, Fantasy"
1118,The Island,(2005),6.9,,284996,"Action, Adventure, Mystery"
1119,The Office,(2005–2013),8.8,,275361,Comedy
1120,Lord of War,(2005),7.6,62.0,273467,"Crime, Drama, Thriller"
1121,Hitch,(I) (2005),6.6,,272742,"Comedy, Romance"
1122,Constantine,(2005),7.0,,270719,"Action, Fantasy, Horror"
1123,Serenity,(2005),7.9,74.0,265582,"Action, Adventure, Sci-Fi"
1124,Kingdom of Heaven,(2005),7.2,63.0,245868,"Action, Adventure, Drama"
1125,Pride & Prejudice,(2005),7.8,82.0,225057,"Drama, Romance"
1126,Corpse Bride,(2005),7.4,83.0,218983,"Animation, Drama, Family"
1127,Saw II,(2005),6.6,,213844,"Horror, Mystery"
1128,Walk the Line,(2005),7.9,72.0,208447,"Biography, Drama, Music"
1129,A History of Violence,(2005),7.5,81.0,207336,"Drama, Thriller"
1130,Thank You for Smoking,(2005),7.6,71.0,204115,"Comedy, Drama"
1131,Grey's Anatomy,(2005– ),7.6,,203178,"Drama, Romance"
1132,Kiss Kiss Bang Bang,(2005),7.6,72.0,199290,"Action, Comedy, Crime"
1133,Munich,(2005),7.6,74.0,195527,"Drama, History, Thriller"
1134,Match Point,(2005),7.6,72.0,187858,"Drama, Romance, Thriller"
1135,The Descent,(2005),7.2,71.0,180688,"Adventure, Horror, Thriller"
1136,Doctor Who,(2005– ),8.7,,179584,"Adventure, Drama, Family"
1137,Transporter 2,(2005),6.3,,176280,"Action, Crime, Thriller"
1138,The Hitchhiker's Guide to the Galaxy,(2005),6.8,63.0,174706,"Adventure, Comedy, Sci-Fi"
1139,It's Always Sunny in Philadelphia,(2005– ),8.7,,165669,Comedy
1140,Cinderella Man,(2005),8.0,69.0,164088,"Biography, Drama, Sport"
1141,Jarhead,(2005),7.0,,159517,"Biography, Drama, War"
1142,Hostel,(2005),5.9,,155948,Horror
1143,The Longest Yard,(2005),6.4,,147493,"Comedy, Crime, Sport"
1144,Hard Candy,(2005),7.1,,144759,"Crime, Drama, Thriller"
1145,Flightplan,(2005),6.3,,140889,"Action, Drama, Mystery"
1146,Rome,(2005–2007),8.8,,136789,"Action, Drama, History"
1147,Criminal Minds,(2005– ),8.1,,133373,"Crime, Drama, Mystery"
1148,Green Street Hooligans,(2005),7.5,,131778,"Crime, Drama, Sport"
1149,Memoirs of a Geisha,(2005),7.4,,129845,"Drama, Romance"
1150,Batman Begins,(2005),8.3,70.0,1161068,"Action, Adventure, Thriller"
1151,V for Vendetta,(2005),8.2,62.0,931738,"Action, Drama, Sci-Fi"
1152,Sin City,(2005),8.0,74.0,708253,"Crime, Thriller"
1153,Star Wars: Episode III - Revenge of the Sith,(2005),7.6,68.0,622476,"Action, Adventure, Fantasy"
1154,How I Met Your Mother,(2005–2014),8.3,,523700,"Comedy, Romance"
1155,Harry Potter and the Goblet of Fire,(2005),7.7,81.0,471799,"Adventure, Family, Fantasy"
1156,Prison Break,(2005–2017),8.4,,418954,"Action, Crime, Drama"
1157,Mr. & Mrs. Smith,(2005),6.5,,405734,"Action, Comedy, Crime"
1158,War of the Worlds,(2005),6.5,73.0,379197,"Adventure, Sci-Fi, Thriller"
1159,Charlie and the Chocolate Factory,(2005),6.7,72.0,378757,"Adventure, Comedy, Family"
1160,King Kong,(2005),7.2,81.0,359083,"Action, Adventure, Drama"
1161,The 40-Year-Old Virgin,(2005),7.1,73.0,354566,"Comedy, Romance"
1162,Supernatural,(2005– ),8.5,,342159,"Drama, Fantasy, Horror"
1163,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",(2005),6.9,75.0,331597,"Adventure, Family, Fantasy"
1164,Madagascar,(2005),6.9,,319397,"Animation, Adventure, Comedy"
1165,Wedding Crashers,(2005),7.0,64.0,308914,"Comedy, Romance"
1166,Brokeback Mountain,(2005),7.7,87.0,293287,"Drama, Romance"
1167,Fantastic Four,(I) (2005),5.7,,292178,"Action, Adventure, Fantasy"
1168,The Island,(2005),6.9,,284996,"Action, Adventure, Mystery"
1169,The Office,(2005–2013),8.8,,275361,Comedy
1170,Lord of War,(2005),7.6,62.0,273467,"Crime, Drama, Thriller"
1171,Hitch,(I) (2005),6.6,,272742,"Comedy, Romance"
1172,Constantine,(2005),7.0,,270719,"Action, Fantasy, Horror"
1173,Serenity,(2005),7.9,74.0,265582,"Action, Adventure, Sci-Fi"
1174,Kingdom of Heaven,(2005),7.2,63.0,245868,"Action, Adventure, Drama"
1175,Pride & Prejudice,(2005),7.8,82.0,225057,"Drama, Romance"
1176,Corpse Bride,(2005),7.4,83.0,218983,"Animation, Drama, Family"
1177,Saw II,(2005),6.6,,213844,"Horror, Mystery"
1178,Walk the Line,(2005),7.9,72.0,208447,"Biography, Drama, Music"
1179,A History of Violence,(2005),7.5,81.0,207336,"Drama, Thriller"
1180,Thank You for Smoking,(2005),7.6,71.0,204115,"Comedy, Drama"
1181,Grey's Anatomy,(2005– ),7.6,,203178,"Drama, Romance"
1182,Kiss Kiss Bang Bang,(2005),7.6,72.0,199290,"Action, Comedy, Crime"
1183,Munich,(2005),7.6,74.0,195527,"Drama, History, Thriller"
1184,Match Point,(2005),7.6,72.0,187858,"Drama, Romance, Thriller"
1185,The Descent,(2005),7.2,71.0,180688,"Adventure, Horror, Thriller"
1186,Doctor Who,(2005– ),8.7,,179584,"Adventure, Drama, Family"
1187,Transporter 2,(2005),6.3,,176280,"Action, Crime, Thriller"
1188,The Hitchhiker's Guide to the Galaxy,(2005),6.8,63.0,174706,"Adventure, Comedy, Sci-Fi"
1189,It's Always Sunny in Philadelphia,(2005– ),8.7,,165669,Comedy
1190,Cinderella Man,(2005),8.0,69.0,164088,"Biography, Drama, Sport"
1191,Jarhead,(2005),7.0,,159517,"Biography, Drama, War"
1192,Hostel,(2005),5.9,,155948,Horror
1193,The Longest Yard,(2005),6.4,,147493,"Comedy, Crime, Sport"
1194,Hard Candy,(2005),7.1,,144759,"Crime, Drama, Thriller"
1195,Flightplan,(2005),6.3,,140889,"Action, Drama, Mystery"
1196,Rome,(2005–2007),8.8,,136789,"Action, Drama, History"
1197,Criminal Minds,(2005– ),8.1,,133373,"Crime, Drama, Mystery"
1198,Green Street Hooligans,(2005),7.5,,131778,"Crime, Drama, Sport"
1199,Memoirs of a Geisha,(2005),7.4,,129845,"Drama, Romance"
1200,The Departed,(2006),8.5,85.0,1044620,"Crime, Drama, Thriller"
1201,The Prestige,(2006),8.5,66.0,1033313,"Drama, Mystery, Sci-Fi"
1202,300,(2006),7.7,,679040,"Action, Fantasy"
1203,The Big Bang Theory,(2007– ),8.2,,623667,"Comedy, Romance"
1204,Pirates of the Caribbean: Dead Man's Chest,(2006),7.3,,600333,"Action, Adventure, Fantasy"
1205,Dexter,(2006–2013),8.7,,583604,"Crime, Drama, Mystery"
1206,Pan's Labyrinth,(2006),8.2,98.0,557807,"Drama, Fantasy, War"
1207,Casino Royale,(2006),8.0,80.0,528950,"Action, Adventure, Thriller"
1208,Blood Diamond,(2006),8.0,64.0,453871,"Adventure, Drama, Thriller"
1209,X-Men: The Last Stand,(2006),6.7,,440789,"Action, Adventure, Sci-Fi"
1210,Children of Men,(2006),7.9,84.0,418858,"Drama, Sci-Fi, Thriller"
1211,Little Miss Sunshine,(2006),7.8,80.0,401533,"Comedy, Drama"
1212,The Pursuit of Happyness,(2006),8.0,64.0,395681,"Biography, Drama"
1213,The Da Vinci Code,(2006),6.6,,364072,"Mystery, Thriller"
1214,The Illusionist,(2006),7.6,68.0,332526,"Drama, Mystery, Romance"
1215,The Devil Wears Prada,(2006),6.9,62.0,330295,"Comedy, Drama"
1216,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,(2006),7.3,89.0,327251,Comedy
1217,Cars,(2006),7.1,73.0,316469,"Animation, Comedy, Family"
1218,The Lives of Others,(2006),8.4,89.0,313670,"Drama, Thriller"
1219,Inside Man,(2006),7.6,76.0,307839,"Crime, Drama, Mystery"
1220,Mission: Impossible III,(2006),6.9,66.0,298989,"Action, Adventure, Thriller"
1221,Lucky Number Slevin,(2006),7.8,,285270,"Crime, Drama, Mystery"
1222,Night at the Museum,(2006),6.4,,278612,"Adventure, Comedy, Family"
1223,Click,(2006),6.4,,277819,"Comedy, Drama, Fantasy"
1224,Deja Vu,(2006),7.1,,271035,"Action, Crime, Sci-Fi"
1225,Babel,(I) (2006),7.5,69.0,269135,Drama
1226,Apocalypto,(2006),7.8,68.0,266193,"Action, Adventure, Drama"
1227,Superman Returns,(2006),6.1,72.0,257638,"Action, Adventure"
1228,Ice Age: The Meltdown,(2006),6.8,,227895,"Animation, Adventure, Comedy"
1229,Crank,(2006),7.0,,218010,"Action, Crime, Thriller"
1230,Heroes,(II) (2006–2010),7.6,,216081,"Drama, Fantasy, Sci-Fi"
1231,Perfume: The Story of a Murderer,(2006),7.5,,214904,"Crime, Drama, Fantasy"
1232,The Holiday,(2006),6.9,,214835,"Comedy, Romance"
1233,The Fountain,(2006),7.3,,213362,"Drama, Sci-Fi"
1234,The Fast and the Furious: Tokyo Drift,(2006),6.0,,213039,"Action, Crime, Thriller"
1235,Stranger Than Fiction,(2006),7.6,67.0,204389,"Comedy, Drama, Fantasy"
1236,Silent Hill,(2006),6.6,,199292,Horror
1237,Rocky Balboa,(2006),7.2,63.0,185203,"Drama, Sport"
1238,Underworld: Evolution,(2006),6.7,,177157,"Action, Adventure, Fantasy"
1239,Death Note,(2006–2007),9.0,,171492,"Animation, Crime, Drama"
1240,Saw III,(2006),6.2,,163170,"Horror, Mystery"
1241,The Last King of Scotland,(2006),7.7,74.0,162660,"Biography, Drama, History"
1242,Happy Feet,(2006),6.5,77.0,153713,"Animation, Adventure, Comedy"
1243,Talladega Nights: The Ballad of Ricky Bobby,(2006),6.6,66.0,149911,"Comedy, Sport"
1244,The Hills Have Eyes,(2006),6.4,,146444,"Horror, Thriller"
1245,Letters from Iwo Jima,(2006),7.9,89.0,144498,"Drama, History, War"
1246,Over the Hedge,(2006),6.7,67.0,144271,"Animation, Adventure, Comedy"
1247,Planet Earth,(2006),9.4,,140284,Documentary
1248,She's the Man,(2006),6.4,,133906,"Comedy, Romance, Sport"
1249,Smokin' Aces,(2006),6.7,,130137,"Action, Crime, Drama"
1250,The Departed,(2006),8.5,85.0,1044620,"Crime, Drama, Thriller"
1251,The Prestige,(2006),8.5,66.0,1033313,"Drama, Mystery, Sci-Fi"
1252,300,(2006),7.7,,679040,"Action, Fantasy"
1253,The Big Bang Theory,(2007– ),8.2,,623667,"Comedy, Romance"
1254,Pirates of the Caribbean: Dead Man's Chest,(2006),7.3,,600333,"Action, Adventure, Fantasy"
1255,Dexter,(2006–2013),8.7,,583604,"Crime, Drama, Mystery"
1256,Pan's Labyrinth,(2006),8.2,98.0,557807,"Drama, Fantasy, War"
1257,Casino Royale,(2006),8.0,80.0,528950,"Action, Adventure, Thriller"
1258,Blood Diamond,(2006),8.0,64.0,453871,"Adventure, Drama, Thriller"
1259,X-Men: The Last Stand,(2006),6.7,,440789,"Action, Adventure, Sci-Fi"
1260,Children of Men,(2006),7.9,84.0,418858,"Drama, Sci-Fi, Thriller"
1261,Little Miss Sunshine,(2006),7.8,80.0,401533,"Comedy, Drama"
1262,The Pursuit of Happyness,(2006),8.0,64.0,395681,"Biography, Drama"
1263,The Da Vinci Code,(2006),6.6,,364072,"Mystery, Thriller"
1264,The Illusionist,(2006),7.6,68.0,332526,"Drama, Mystery, Romance"
1265,The Devil Wears Prada,(2006),6.9,62.0,330295,"Comedy, Drama"
1266,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,(2006),7.3,89.0,327251,Comedy
1267,Cars,(2006),7.1,73.0,316469,"Animation, Comedy, Family"
1268,The Lives of Others,(2006),8.4,89.0,313670,"Drama, Thriller"
1269,Inside Man,(2006),7.6,76.0,307839,"Crime, Drama, Mystery"
1270,Mission: Impossible III,(2006),6.9,66.0,298989,"Action, Adventure, Thriller"
1271,Lucky Number Slevin,(2006),7.8,,285270,"Crime, Drama, Mystery"
1272,Night at the Museum,(2006),6.4,,278612,"Adventure, Comedy, Family"
1273,Click,(2006),6.4,,277819,"Comedy, Drama, Fantasy"
1274,Deja Vu,(2006),7.1,,271035,"Action, Crime, Sci-Fi"
1275,Babel,(I) (2006),7.5,69.0,269135,Drama
1276,Apocalypto,(2006),7.8,68.0,266193,"Action, Adventure, Drama"
1277,Superman Returns,(2006),6.1,72.0,257638,"Action, Adventure"
1278,Ice Age: The Meltdown,(2006),6.8,,227895,"Animation, Adventure, Comedy"
1279,Crank,(2006),7.0,,218010,"Action, Crime, Thriller"
1280,Heroes,(II) (2006–2010),7.6,,216081,"Drama, Fantasy, Sci-Fi"
1281,Perfume: The Story of a Murderer,(2006),7.5,,214904,"Crime, Drama, Fantasy"
1282,The Holiday,(2006),6.9,,214835,"Comedy, Romance"
1283,The Fountain,(2006),7.3,,213362,"Drama, Sci-Fi"
1284,The Fast and the Furious: Tokyo Drift,(2006),6.0,,213039,"Action, Crime, Thriller"
1285,Stranger Than Fiction,(2006),7.6,67.0,204389,"Comedy, Drama, Fantasy"
1286,Silent Hill,(2006),6.6,,199292,Horror
1287,Rocky Balboa,(2006),7.2,63.0,185203,"Drama, Sport"
1288,Underworld: Evolution,(2006),6.7,,177157,"Action, Adventure, Fantasy"
1289,Death Note,(2006–2007),9.0,,171492,"Animation, Crime, Drama"
1290,Saw III,(2006),6.2,,163170,"Horror, Mystery"
1291,The Last King of Scotland,(2006),7.7,74.0,162660,"Biography, Drama, History"
1292,Happy Feet,(2006),6.5,77.0,153713,"Animation, Adventure, Comedy"
1293,Talladega Nights: The Ballad of Ricky Bobby,(2006),6.6,66.0,149911,"Comedy, Sport"
1294,The Hills Have Eyes,(2006),6.4,,146444,"Horror, Thriller"
1295,Letters from Iwo Jima,(2006),7.9,89.0,144498,"Drama, History, War"
1296,Over the Hedge,(2006),6.7,67.0,144271,"Animation, Adventure, Comedy"
1297,Planet Earth,(2006),9.4,,140284,Documentary
1298,She's the Man,(2006),6.4,,133906,"Comedy, Romance, Sport"
1299,Smokin' Aces,(2006),6.7,,130137,"Action, Crime, Drama"
1300,The Departed,(2006),8.5,85.0,1044620,"Crime, Drama, Thriller"
1301,The Prestige,(2006),8.5,66.0,1033313,"Drama, Mystery, Sci-Fi"
1302,300,(2006),7.7,,679040,"Action, Fantasy"
1303,The Big Bang Theory,(2007– ),8.2,,623667,"Comedy, Romance"
1304,Pirates of the Caribbean: Dead Man's Chest,(2006),7.3,,600333,"Action, Adventure, Fantasy"
1305,Dexter,(2006–2013),8.7,,583604,"Crime, Drama, Mystery"
1306,Pan's Labyrinth,(2006),8.2,98.0,557807,"Drama, Fantasy, War"
1307,Casino Royale,(2006),8.0,80.0,528950,"Action, Adventure, Thriller"
1308,Blood Diamond,(2006),8.0,64.0,453871,"Adventure, Drama, Thriller"
1309,X-Men: The Last Stand,(2006),6.7,,440789,"Action, Adventure, Sci-Fi"
1310,Children of Men,(2006),7.9,84.0,418858,"Drama, Sci-Fi, Thriller"
1311,Little Miss Sunshine,(2006),7.8,80.0,401533,"Comedy, Drama"
